Day_Week,Dep_Time,Origin,Destination,Carrier,Weather,Flight_Status
4,1455,BWI,JFK,OH,0,ontime
4,1640,DCA,JFK,DH,0,ontime
4,1245,IAD,LGA,DH,0,ontime
4,1715,IAD,LGA,DH,0,ontime
4,1039,IAD,LGA,DH,0,ontime
4,840,IAD,JFK,DH,0,ontime
4,1240,IAD,JFK,DH,0,ontime
4,1645,IAD,JFK,DH,0,ontime
4,1715,IAD,JFK,DH,0,ontime
4,2120,IAD,JFK,DH,0,ontime
4,2120,IAD,LGA,DH,0,ontime
4,1455,DCA,JFK,DL,0,ontime
4,930,DCA,LGA,DL,0,ontime
4,1230,DCA,LGA,DL,0,ontime
4,1430,DCA,LGA,DL,0,ontime
4,1730,DCA,LGA,DL,0,ontime
4,2030,DCA,LGA,DL,0,ontime
4,1530,DCA,JFK,MQ,0,ontime
4,600,DCA,JFK,MQ,0,ontime
4,1830,DCA,JFK,MQ,0,ontime
4,900,DCA,LGA,MQ,0,ontime
4,1300,DCA,LGA,MQ,0,ontime
4,1400,DCA,LGA,MQ,0,ontime
4,1500,DCA,LGA,MQ,0,ontime
4,1900,DCA,LGA,MQ,0,ontime
4,850,IAD,LGA,UA,0,ontime
4,900,DCA,LGA,US,0,ontime
4,1100,DCA,LGA,US,0,ontime
4,1300,DCA,LGA,US,0,ontime
4,1500,DCA,LGA,US,0,ontime
4,1700,DCA,LGA,US,0,ontime
4,2100,DCA,LGA,US,0,ontime
4,1455,BWI,EWR,RU,0,ontime
4,1720,BWI,EWR,RU,0,ontime
4,1030,BWI,EWR,RU,0,ontime
4,700,BWI,EWR,RU,0,ontime
4,1300,DCA,EWR,CO,0,ontime
4,1730,DCA,EWR,CO,0,ontime
4,840,IAD,EWR,DH,0,ontime
4,1710,IAD,EWR,DH,0,ontime
4,1245,IAD,EWR,DH,0,ontime
4,2120,IAD,EWR,DH,0,ontime
4,1700,IAD,EWR,RU,0,ontime
4,1900,IAD,EWR,RU,0,ontime
4,1525,DCA,EWR,RU,0,ontime
4,1900,DCA,EWR,RU,0,ontime
4,1400,DCA,EWR,RU,0,ontime
4,1515,IAD,EWR,RU,0,ontime
4,1300,IAD,EWR,RU,0,ontime
4,1630,DCA,EWR,RU,0,ontime
5,1455,BWI,JFK,OH,0,ontime
5,1640,DCA,JFK,DH,0,ontime
5,1245,IAD,LGA,DH,0,ontime
5,1455,IAD,LGA,DH,0,delayed
5,1715,IAD,LGA,DH,0,ontime
5,640,IAD,LGA,DH,0,ontime
5,1039,IAD,LGA,DH,0,delayed
5,840,IAD,JFK,DH,0,ontime
5,1240,IAD,JFK,DH,0,ontime
5,1455,IAD,JFK,DH,0,ontime
5,1645,IAD,JFK,DH,0,ontime
5,1715,IAD,JFK,DH,0,ontime
5,2120,IAD,JFK,DH,0,delayed
5,1610,IAD,JFK,DH,0,ontime
