month,year,month_abbr,time_index,ridership
1/1/1991,1991,Jan,1,1708.917
2/1/1991,1991,Feb,2,1620.586
3/1/1991,1991,Mar,3,1972.715
4/1/1991,1991,Apr,4,1811.665
5/1/1991,1991,May,5,1974.964
6/1/1991,1991,Jun,6,1862.356
7/1/1991,1991,Jul,7,1939.86
8/1/1991,1991,Aug,8,2013.264
9/1/1991,1991,Sep,9,1595.657
10/1/1991,1991,Oct,10,1724.924
11/1/1991,1991,Nov,11,1675.667
12/1/1991,1991,Dec,12,1813.863
1/1/1992,1992,Jan,13,1614.827
2/1/1992,1992,Feb,14,1557.088
3/1/1992,1992,Mar,15,1891.223
4/1/1992,1992,Apr,16,1955.981
5/1/1992,1992,May,17,1884.714
6/1/1992,1992,Jun,18,1623.042
7/1/1992,1992,Jul,19,1903.309
8/1/1992,1992,Aug,20,1996.712
9/1/1992,1992,Sep,21,1703.897
10/1/1992,1992,Oct,22,1810
11/1/1992,1992,Nov,23,1861.601
12/1/1992,1992,Dec,24,1875.122
1/1/1993,1993,Jan,25,1705.259
2/1/1993,1993,Feb,26,1618.535
3/1/1993,1993,Mar,27,1836.709
4/1/1993,1993,Apr,28,1957.043
5/1/1993,1993,May,29,1917.185
6/1/1993,1993,Jun,30,1882.398
7/1/1993,1993,Jul,31,1933.009
8/1/1993,1993,Aug,32,1996.167
9/1/1993,1993,Sep,33,1672.841
10/1/1993,1993,Oct,34,1752.827
11/1/1993,1993,Nov,35,1720.377
12/1/1993,1993,Dec,36,1734.292
1/1/1994,1994,Jan,37,1563.365
2/1/1994,1994,Feb,38,1573.959
3/1/1994,1994,Mar,39,1902.639
4/1/1994,1994,Apr,40,1833.888
5/1/1994,1994,May,41,1831.049
6/1/1994,1994,Jun,42,1775.755
7/1/1994,1994,Jul,43,1867.508
8/1/1994,1994,Aug,44,1906.608
9/1/1994,1994,Sep,45,1685.632
10/1/1994,1994,Oct,46,1778.546
11/1/1994,1994,Nov,47,1775.995
12/1/1994,1994,Dec,48,1783.35
1/1/1995,1995,Jan,49,1548.415
2/1/1995,1995,Feb,50,1496.925
3/1/1995,1995,Mar,51,1798.316
4/1/1995,1995,Apr,52,1732.895
5/1/1995,1995,May,53,1772.345
6/1/1995,1995,Jun,54,1761.207
7/1/1995,1995,Jul,55,1791.655
8/1/1995,1995,Aug,56,1874.82
9/1/1995,1995,Sep,57,1571.309
10/1/1995,1995,Oct,58,1646.948
11/1/1995,1995,Nov,59,1672.631
12/1/1995,1995,Dec,60,1656.845
1/1/1996,1996,Jan,61,1381.758
2/1/1996,1996,Feb,62,1360.852
3/1/1996,1996,Mar,63,1558.575
4/1/1996,1996,Apr,64,1608.42
5/1/1996,1996,May,65,1696.696
6/1/1996,1996,Jun,66,1693.183
7/1/1996,1996,Jul,67,1835.516
8/1/1996,1996,Aug,68,1942.573
9/1/1996,1996,Sep,69,1551.401
10/1/1996,1996,Oct,70,1686.508
11/1/1996,1996,Nov,71,1576.204
12/1/1996,1996,Dec,72,1700.433
1/1/1997,1997,Jan,73,1396.588
2/1/1997,1997,Feb,74,1371.69
3/1/1997,1997,Mar,75,1707.522
4/1/1997,1997,Apr,76,1654.604
5/1/1997,1997,May,77,1762.903
6/1/1997,1997,Jun,78,1775.8
7/1/1997,1997,Jul,79,1934.219
8/1/1997,1997,Aug,80,2008.055
9/1/1997,1997,Sep,81,1615.924
10/1/1997,1997,Oct,82,1773.91
11/1/1997,1997,Nov,83,1732.368
12/1/1997,1997,Dec,84,1796.626
1/1/1998,1998,Jan,85,1570.33
2/1/1998,1998,Feb,86,1412.691
3/1/1998,1998,Mar,87,1754.641
4/1/1998,1998,Apr,88,1824.932
5/1/1998,1998,May,89,1843.289
6/1/1998,1998,Jun,90,1825.964
7/1/1998,1998,Jul,91,1968.172
8/1/1998,1998,Aug,92,1921.645
9/1/1998,1998,Sep,93,1669.597
10/1/1998,1998,Oct,94,1791.474
11/1/1998,1998,Nov,95,1816.714
12/1/1998,1998,Dec,96,1846.754
1/1/1999,1999,Jan,97,1599.427
2/1/1999,1999,Feb,98,1548.804
3/1/1999,1999,Mar,99,1832.333
4/1/1999,1999,Apr,100,1839.72
5/1/1999,1999,May,101,1846.498
6/1/1999,1999,Jun,102,1864.852
7/1/1999,1999,Jul,103,1965.743
8/1/1999,1999,Aug,104,1949.002
9/1/1999,1999,Sep,105,1607.373
10/1/1999,1999,Oct,106,1803.664
11/1/1999,1999,Nov,107,1850.309
12/1/1999,1999,Dec,108,1836.435
1/1/2000,2000,Jan,109,1541.66
2/1/2000,2000,Feb,110,1616.928
3/1/2000,2000,Mar,111,1919.538
4/1/2000,2000,Apr,112,1971.493
5/1/2000,2000,May,113,1992.301
6/1/2000,2000,Jun,114,2009.763
7/1/2000,2000,Jul,115,2053.996
8/1/2000,2000,Aug,116,2097.471
9/1/2000,2000,Sep,117,1823.706
10/1/2000,2000,Oct,118,1976.997
